epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,563.069,6.23727,12.4463,7.19416,0.34074,0.11726,0.07721,0.03375,4.27641,6.61086,5.38501,0.00333291,0.00333291,0.00333291
2,1078.65,4.03949,6.78034,4.65069,0.64577,0.33061,0.30074,0.19054,2.95038,3.6205,3.90207,0.00660025,0.00660025,0.00660025
3,1591.84,3.42822,4.87847,3.93916,0.68367,0.44058,0.45061,0.3064,2.46651,2.84803,3.32041,0.00980159,0.00980159,0.00980159
4,2102.27,3.12566,3.93479,3.5903,0.62274,0.55246,0.56438,0.39095,2.26309,2.34928,3.05789,0.009703,0.009703,0.009703
5,2614.26,2.87561,3.33547,3.33494,0.67169,0.61361,0.62938,0.44905,2.08161,1.92712,2.84983,0.009604,0.009604,0.009604
6,3123.66,2.74145,3.00969,3.19726,0.70583,0.66118,0.70371,0.50258,1.90821,1.68881,2.69554,0.009505,0.009505,0.009505
7,3631.55,2.64194,2.77846,3.09591,0.74921,0.69539,0.75041,0.54609,1.86655,1.54051,2.64491,0.009406,0.009406,0.009406
8,4140.47,2.56486,2.62643,3.02699,0.77856,0.72024,0.77485,0.56385,1.81155,1.45238,2.58676,0.009307,0.009307,0.009307
9,4652.16,2.50693,2.5121,2.97393,0.77802,0.73526,0.78518,0.57926,1.72636,1.36013,2.51954,0.009208,0.009208,0.009208
10,5160.99,2.46664,2.4393,2.92847,0.77285,0.75849,0.79759,0.58921,1.6811,1.34184,2.46647,0.009109,0.009109,0.009109
11,5669,2.41982,2.35572,2.88861,0.79238,0.76066,0.80989,0.60479,1.62808,1.30569,2.43915,0.00901,0.00901,0.00901
12,6177.68,2.38368,2.28707,2.85121,0.79176,0.76988,0.81034,0.6126,1.6153,1.27587,2.42204,0.008911,0.008911,0.008911
13,6687.16,2.34084,2.2157,2.82185,0.80828,0.77374,0.82175,0.62287,1.56798,1.26186,2.38768,0.008812,0.008812,0.008812
14,7198.55,2.32282,2.18166,2.79784,0.83159,0.777,0.83589,0.62586,1.56944,1.20396,2.37342,0.008713,0.008713,0.008713
15,7709.78,2.29225,2.13798,2.77526,0.81531,0.78606,0.82884,0.62726,1.5354,1.1923,2.35221,0.008614,0.008614,0.008614
16,8222.2,2.27985,2.1173,2.76373,0.84551,0.78309,0.84345,0.63321,1.52085,1.16652,2.33692,0.008515,0.008515,0.008515
17,8731.76,2.24957,2.0777,2.73369,0.82664,0.78849,0.84099,0.63713,1.50276,1.16523,2.32283,0.008416,0.008416,0.008416
18,9242.79,2.22842,2.04011,2.71888,0.83125,0.80152,0.8506,0.64124,1.48946,1.13636,2.30906,0.008317,0.008317,0.008317
19,9754.29,2.21095,2.02167,2.70515,0.85555,0.79588,0.85221,0.64843,1.47082,1.12653,2.29331,0.008218,0.008218,0.008218
20,10265.6,2.18966,2.00174,2.6911,0.84269,0.79682,0.85157,0.64884,1.46029,1.1283,2.28155,0.008119,0.008119,0.008119
21,10776.9,2.17266,1.98041,2.66652,0.83845,0.81472,0.85884,0.65414,1.44921,1.10758,2.27229,0.00802,0.00802,0.00802
22,11288.3,2.16925,1.96014,2.66111,0.83892,0.81796,0.85988,0.65636,1.44247,1.09411,2.26377,0.007921,0.007921,0.007921
23,11800.2,2.13868,1.92722,2.64308,0.83327,0.8147,0.86216,0.65744,1.44071,1.08753,2.25896,0.007822,0.007822,0.007822
24,12311.7,2.13699,1.91775,2.63722,0.85359,0.81668,0.86421,0.66251,1.43516,1.08236,2.25703,0.007723,0.007723,0.007723
25,12819.8,2.11686,1.89901,2.62186,0.85981,0.8134,0.86395,0.6648,1.42929,1.07906,2.25147,0.007624,0.007624,0.007624
26,13328.4,2.10768,1.87891,2.61531,0.85317,0.81062,0.86486,0.66501,1.42525,1.07202,2.24902,0.007525,0.007525,0.007525
27,13841,2.10206,1.86324,2.60275,0.85173,0.80939,0.86602,0.66498,1.42032,1.06429,2.24399,0.007426,0.007426,0.007426
28,14350.4,2.08868,1.84602,2.5877,0.8614,0.81421,0.86592,0.66377,1.41677,1.06307,2.24085,0.007327,0.007327,0.007327
29,14863.5,2.06874,1.82985,2.57189,0.85976,0.81098,0.86778,0.66631,1.41368,1.05362,2.2379,0.007228,0.007228,0.007228
30,15373,2.06025,1.82672,2.56987,0.85347,0.81709,0.86793,0.66791,1.40925,1.04727,2.23359,0.007129,0.007129,0.007129
31,15885,2.04119,1.79757,2.55438,0.85624,0.81342,0.86763,0.66784,1.40615,1.04006,2.23053,0.00703,0.00703,0.00703
32,16395.2,2.04624,1.79813,2.55707,0.85863,0.82328,0.86871,0.66814,1.40363,1.03562,2.22871,0.006931,0.006931,0.006931
33,16906.5,2.03328,1.78629,2.54019,0.8662,0.82237,0.86955,0.66899,1.4002,1.03564,2.22506,0.006832,0.006832,0.006832
34,17417,2.02163,1.77088,2.52991,0.87389,0.82628,0.87184,0.67088,1.39893,1.03202,2.22341,0.006733,0.006733,0.006733
35,17922.3,2.01177,1.7526,2.52535,0.88229,0.81886,0.87217,0.67073,1.39675,1.02958,2.22175,0.006634,0.006634,0.006634
36,18429.6,2.0081,1.75033,2.51712,0.87921,0.81965,0.87225,0.6718,1.39608,1.02716,2.22131,0.006535,0.006535,0.006535
37,18939.8,1.9959,1.74812,2.51649,0.87147,0.82329,0.87195,0.67212,1.39365,1.02466,2.21882,0.006436,0.006436,0.006436
38,19448.9,1.98607,1.7351,2.50952,0.86464,0.82718,0.87168,0.67272,1.3907,1.02382,2.2162,0.006337,0.006337,0.006337
39,19957.9,1.97836,1.72256,2.49616,0.86863,0.819,0.87143,0.67184,1.38795,1.02514,2.21335,0.006238,0.006238,0.006238
40,20469.4,1.96514,1.7121,2.48462,0.86514,0.8249,0.87171,0.67178,1.3867,1.02351,2.21115,0.006139,0.006139,0.006139
41,20982.5,1.96001,1.72116,2.49076,0.87367,0.82416,0.87074,0.67303,1.38566,1.02335,2.20941,0.00604,0.00604,0.00604
42,21495.7,1.95714,1.69974,2.47906,0.86913,0.82118,0.87133,0.67221,1.38362,1.02309,2.20735,0.005941,0.005941,0.005941
43,22007.9,1.93862,1.68506,2.47053,0.86314,0.82093,0.87012,0.67231,1.38394,1.02051,2.20604,0.005842,0.005842,0.005842
44,22518.9,1.93957,1.67924,2.46075,0.86029,0.82226,0.86928,0.67212,1.38166,1.02332,2.20449,0.005743,0.005743,0.005743
45,23032.9,1.93639,1.67786,2.46486,0.84999,0.82319,0.86805,0.67056,1.37997,1.02388,2.20353,0.005644,0.005644,0.005644
46,23542.3,1.9341,1.66842,2.46078,0.84953,0.82222,0.86836,0.67127,1.3772,1.02342,2.20135,0.005545,0.005545,0.005545
47,24051.7,1.92293,1.66249,2.45525,0.84773,0.82469,0.86875,0.67404,1.37556,1.02174,2.19902,0.005446,0.005446,0.005446
48,24561.2,1.91015,1.63885,2.44252,0.86033,0.81587,0.8687,0.67369,1.3735,1.02258,2.19758,0.005347,0.005347,0.005347
49,25069.6,1.90525,1.62877,2.4348,0.84869,0.82704,0.86954,0.6744,1.37174,1.02055,2.19588,0.005248,0.005248,0.005248
50,25580.3,1.89127,1.63163,2.42952,0.8528,0.82798,0.86934,0.67315,1.36953,1.01749,2.19375,0.005149,0.005149,0.005149
51,26090.8,1.89394,1.63436,2.4318,0.85313,0.83306,0.86928,0.67206,1.3685,1.01629,2.19228,0.00505,0.00505,0.00505
52,26604.9,1.88486,1.6245,2.43125,0.85913,0.82555,0.86913,0.67286,1.36799,1.01289,2.19196,0.004951,0.004951,0.004951
53,27117.3,1.88078,1.60651,2.41917,0.86062,0.82332,0.86945,0.67336,1.36592,1.01359,2.1901,0.004852,0.004852,0.004852
54,27630.3,1.87218,1.60875,2.4168,0.86051,0.82562,0.86962,0.67346,1.3649,1.01247,2.18884,0.004753,0.004753,0.004753
55,28144.8,1.86191,1.60549,2.40512,0.86163,0.82673,0.87053,0.67403,1.36422,1.01086,2.18734,0.004654,0.004654,0.004654
56,28655,1.85579,1.59153,2.40433,0.84992,0.83064,0.87126,0.67415,1.36193,1.01054,2.18574,0.004555,0.004555,0.004555
57,29165.6,1.84467,1.57598,2.39788,0.85232,0.8322,0.87189,0.67449,1.36036,1.00743,2.18461,0.004456,0.004456,0.004456
58,29677.5,1.83916,1.56704,2.393,0.85895,0.82851,0.87304,0.67578,1.35867,1.00762,2.18245,0.004357,0.004357,0.004357
59,30188.3,1.83692,1.56651,2.38935,0.87929,0.81966,0.8728,0.67748,1.35786,1.00653,2.18131,0.004258,0.004258,0.004258
60,30702.7,1.8257,1.54998,2.37783,0.88354,0.82104,0.87475,0.67733,1.35719,1.00752,2.18028,0.004159,0.004159,0.004159
61,31213.3,1.82215,1.55587,2.37678,0.88067,0.82611,0.87468,0.67701,1.35683,1.00571,2.18001,0.00406,0.00406,0.00406
62,31725.3,1.82264,1.55004,2.37597,0.8812,0.8286,0.87548,0.67971,1.35605,1.00496,2.17893,0.003961,0.003961,0.003961
63,32236.5,1.80428,1.54289,2.36753,0.87796,0.83058,0.87608,0.67996,1.3553,1.00333,2.17795,0.003862,0.003862,0.003862
64,32747.1,1.80949,1.54079,2.36749,0.87563,0.82978,0.87646,0.6796,1.35473,1.00141,2.17734,0.003763,0.003763,0.003763
65,33259,1.78827,1.5294,2.35714,0.88164,0.82312,0.87547,0.67958,1.35376,0.99985,2.17601,0.003664,0.003664,0.003664
66,33772.6,1.79143,1.52723,2.35872,0.87757,0.81927,0.87586,0.67926,1.35286,1.00124,2.17504,0.003565,0.003565,0.003565
