epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.404,3.20303,4.75029,3.57306,0.58623,0.19057,0.15548,0.07189,2.16121,2.82504,2.73086,0.00333291,0.00333291,0.00333291
2,916.555,2.0638,2.93825,2.39899,0.74546,0.41032,0.44421,0.27274,1.45963,1.70021,1.95929,0.00660025,0.00660025,0.00660025
3,1349.7,1.72156,2.17546,2.01809,0.69652,0.57559,0.58419,0.38843,1.22433,1.46379,1.68495,0.00980159,0.00980159,0.00980159
4,1775.73,1.55443,1.78572,1.82905,0.69721,0.62726,0.65703,0.45721,1.08044,1.18143,1.51453,0.009703,0.009703,0.009703
5,2197.32,1.42311,1.52936,1.68659,0.683,0.69396,0.70471,0.49278,1.04225,1.00806,1.44243,0.009604,0.009604,0.009604
6,2614.32,1.34649,1.38994,1.60724,0.7307,0.72266,0.75273,0.52769,0.94332,0.92095,1.35432,0.009505,0.009505,0.009505
7,3029.55,1.29072,1.29761,1.54671,0.73027,0.74026,0.76924,0.54876,0.88757,0.82845,1.29717,0.009406,0.009406,0.009406
8,3441.98,1.24809,1.22833,1.504,0.77169,0.76744,0.81079,0.58405,0.85242,0.7627,1.25957,0.009307,0.009307,0.009307
9,3856.69,1.21536,1.17544,1.46872,0.78654,0.78049,0.81546,0.59124,0.82674,0.73708,1.23515,0.009208,0.009208,0.009208
10,4272.09,1.19616,1.14417,1.44282,0.82476,0.76649,0.83012,0.60517,0.80322,0.70504,1.20873,0.009109,0.009109,0.009109
11,4690.87,1.1722,1.10773,1.42012,0.77775,0.8131,0.83852,0.61602,0.77581,0.67841,1.17989,0.00901,0.00901,0.00901
12,5102.12,1.1537,1.07805,1.40074,0.80198,0.80789,0.84965,0.63331,0.7602,0.65382,1.17159,0.008911,0.008911,0.008911
13,5520.01,1.13011,1.04881,1.38177,0.81318,0.81084,0.85268,0.63852,0.74278,0.63473,1.15326,0.008812,0.008812,0.008812
14,5936.32,1.12153,1.03381,1.36902,0.80678,0.83525,0.8629,0.6472,0.7271,0.61525,1.14341,0.008713,0.008713,0.008713
15,6350.49,1.10494,1.01409,1.35458,0.84004,0.81972,0.86678,0.65525,0.71983,0.60157,1.13204,0.008614,0.008614,0.008614
16,6764.7,1.09571,1.00366,1.34888,0.83448,0.83182,0.87315,0.65801,0.71153,0.59628,1.12623,0.008515,0.008515,0.008515
17,7187.86,1.07845,0.98411,1.33372,0.8378,0.83048,0.87724,0.66688,0.70418,0.58869,1.11789,0.008416,0.008416,0.008416
18,7609.13,1.06779,0.96288,1.32512,0.82883,0.84666,0.87565,0.66593,0.69788,0.57783,1.11123,0.008317,0.008317,0.008317
19,8018.48,1.06175,0.95933,1.31845,0.82806,0.84653,0.87488,0.66811,0.68712,0.57072,1.10545,0.008218,0.008218,0.008218
20,8438.16,1.05241,0.94627,1.31308,0.8338,0.84438,0.8773,0.66915,0.68418,0.56723,1.1023,0.008119,0.008119,0.008119
21,8854.11,1.04078,0.93609,1.2993,0.83874,0.83976,0.87511,0.66866,0.67641,0.56592,1.09612,0.00802,0.00802,0.00802
22,9265.99,1.03879,0.92799,1.29536,0.8408,0.8427,0.87668,0.67316,0.67092,0.55879,1.09193,0.007921,0.007921,0.007921
23,9678.37,1.02727,0.91412,1.28654,0.85472,0.83624,0.87648,0.67402,0.66945,0.55102,1.0902,0.007822,0.007822,0.007822
24,10089.2,1.02602,0.91193,1.28444,0.86448,0.8415,0.88366,0.67507,0.66678,0.5435,1.08683,0.007723,0.007723,0.007723
25,10503.3,1.01442,0.90151,1.27502,0.85394,0.8461,0.88137,0.67607,0.66428,0.54078,1.0829,0.007624,0.007624,0.007624
26,10918.8,1.01118,0.89657,1.27296,0.85496,0.84827,0.88161,0.67716,0.66326,0.53913,1.08184,0.007525,0.007525,0.007525
27,11330.5,1.00422,0.88943,1.26631,0.85874,0.85069,0.88231,0.67846,0.6597,0.53639,1.07917,0.007426,0.007426,0.007426
28,11742.4,0.99949,0.88098,1.25868,0.85963,0.85082,0.88471,0.68038,0.65628,0.53264,1.07611,0.007327,0.007327,0.007327
29,12160.7,0.99029,0.87211,1.25266,0.86493,0.85139,0.8863,0.68272,0.65365,0.53086,1.0738,0.007228,0.007228,0.007228
30,12579.4,0.98479,0.86904,1.25009,0.8647,0.85255,0.88724,0.68244,0.65182,0.52903,1.07228,0.007129,0.007129,0.007129
31,13001.2,0.97511,0.85999,1.2424,0.86113,0.85255,0.88694,0.68379,0.65061,0.52733,1.07099,0.00703,0.00703,0.00703
32,13412.6,0.98034,0.85958,1.24408,0.86067,0.85406,0.88677,0.68329,0.64961,0.52683,1.07003,0.006931,0.006931,0.006931
33,13825.8,0.97096,0.85589,1.235,0.86107,0.85295,0.88647,0.6838,0.64853,0.52573,1.06904,0.006832,0.006832,0.006832
34,14237.4,0.96709,0.8452,1.23083,0.86052,0.85349,0.88591,0.68491,0.64817,0.52497,1.06851,0.006733,0.006733,0.006733
35,14657.3,0.96086,0.83692,1.22831,0.86293,0.8524,0.88592,0.68611,0.64801,0.524,1.06812,0.006634,0.006634,0.006634
36,15075.4,0.95934,0.83736,1.22304,0.86435,0.85175,0.88555,0.68719,0.64699,0.52334,1.06715,0.006535,0.006535,0.006535
37,15489.7,0.95326,0.83416,1.22609,0.87095,0.85124,0.88517,0.6883,0.64658,0.52231,1.06658,0.006436,0.006436,0.006436
38,15895.9,0.94623,0.82981,1.22091,0.86899,0.85248,0.88585,0.68809,0.64597,0.5214,1.06581,0.006337,0.006337,0.006337
39,16307.4,0.94323,0.82128,1.2148,0.86834,0.85328,0.88495,0.68874,0.64528,0.52095,1.06511,0.006238,0.006238,0.006238
40,16728.3,0.93831,0.81675,1.20945,0.87161,0.85337,0.88523,0.68819,0.6446,0.52033,1.06425,0.006139,0.006139,0.006139
41,17144.2,0.93681,0.82126,1.21062,0.87235,0.85299,0.88542,0.68882,0.64406,0.51988,1.06347,0.00604,0.00604,0.00604
42,17560.8,0.93534,0.81396,1.20616,0.87449,0.85385,0.88628,0.68903,0.64343,0.51955,1.06281,0.005941,0.005941,0.005941
43,17978.6,0.92552,0.80637,1.20298,0.87747,0.85407,0.88618,0.68944,0.64279,0.51884,1.06207,0.005842,0.005842,0.005842
44,18394.8,0.92376,0.80291,1.19681,0.8772,0.85713,0.88633,0.68891,0.64185,0.51813,1.06113,0.005743,0.005743,0.005743
45,18803.8,0.92293,0.80211,1.20042,0.87588,0.85296,0.8871,0.68977,0.64101,0.51765,1.06016,0.005644,0.005644,0.005644
46,19217.6,0.92167,0.79743,1.19753,0.87479,0.85422,0.88744,0.69077,0.64008,0.51678,1.05913,0.005545,0.005545,0.005545
47,19627.6,0.91555,0.79604,1.19518,0.87964,0.85317,0.88834,0.69029,0.63883,0.51622,1.05769,0.005446,0.005446,0.005446
48,20044.6,0.91087,0.787,1.19043,0.88031,0.8532,0.88832,0.68981,0.63782,0.51554,1.0567,0.005347,0.005347,0.005347
49,20459.2,0.90673,0.78166,1.18541,0.87951,0.85275,0.88781,0.68889,0.637,0.51514,1.05592,0.005248,0.005248,0.005248
50,20871.2,0.90241,0.78081,1.18344,0.87825,0.85234,0.88738,0.69074,0.63603,0.51479,1.05507,0.005149,0.005149,0.005149
51,21282.4,0.90353,0.77924,1.18343,0.87687,0.85254,0.88745,0.69067,0.63543,0.51402,1.05422,0.00505,0.00505,0.00505
52,21703.4,0.89712,0.77546,1.18192,0.87685,0.85162,0.88847,0.6915,0.63483,0.51384,1.05335,0.004951,0.004951,0.004951
53,22114.7,0.89437,0.77039,1.17633,0.87805,0.85009,0.88782,0.69114,0.63376,0.51331,1.05223,0.004852,0.004852,0.004852
54,22529,0.89208,0.76942,1.17721,0.86699,0.85675,0.88792,0.69235,0.63292,0.51272,1.05121,0.004753,0.004753,0.004753
55,22940.2,0.88667,0.76784,1.17171,0.87453,0.85379,0.88926,0.69292,0.63196,0.51173,1.05028,0.004654,0.004654,0.004654
56,23356.6,0.88262,0.76177,1.16878,0.87552,0.85578,0.88988,0.6946,0.63119,0.51121,1.04918,0.004555,0.004555,0.004555
57,23776.2,0.87932,0.75584,1.16859,0.87554,0.85645,0.88935,0.6945,0.62997,0.5107,1.04826,0.004456,0.004456,0.004456
