epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.749,3.18883,4.59049,3.55729,0.63297,0.20986,0.17625,0.07567,2.21645,2.62301,2.7083,0.00333249,0.00333249,0.00333249
2,543.754,2.03894,2.77705,2.31957,0.7263,0.45982,0.46003,0.28045,1.48934,1.58639,1.92812,0.00659983,0.00659983,0.00659983
3,806.662,1.70916,2.06242,1.93872,0.6685,0.51815,0.55158,0.3605,1.2638,1.29669,1.65705,0.00980117,0.00980117,0.00980117
4,1066.28,1.54205,1.68218,1.74455,0.70498,0.6455,0.65792,0.43782,1.12796,1.0844,1.49959,0.009703,0.009703,0.009703
5,1323.39,1.40921,1.44572,1.61328,0.73986,0.67106,0.69547,0.48584,1.03726,0.96877,1.41248,0.009604,0.009604,0.009604
6,1583.37,1.3395,1.32738,1.54636,0.75538,0.71402,0.73877,0.51963,0.95263,0.86567,1.32912,0.009505,0.009505,0.009505
7,1842.43,1.28919,1.24601,1.4992,0.79937,0.71795,0.76078,0.53928,0.91878,0.81265,1.29799,0.009406,0.009406,0.009406
8,2098.49,1.24835,1.18666,1.46051,0.77396,0.75279,0.78894,0.55955,0.8869,0.77466,1.26378,0.009307,0.009307,0.009307
9,2358.4,1.21571,1.14144,1.43101,0.80526,0.75904,0.79954,0.57683,0.85451,0.7386,1.23638,0.009208,0.009208,0.009208
10,2618.33,1.18703,1.0979,1.40293,0.77003,0.76922,0.80838,0.58492,0.83812,0.72165,1.2184,0.009109,0.009109,0.009109
11,2874.93,1.16665,1.07211,1.38537,0.80667,0.7931,0.82294,0.59884,0.82207,0.69447,1.20392,0.00901,0.00901,0.00901
12,3132.25,1.14822,1.04528,1.36807,0.80177,0.80263,0.83135,0.6061,0.80165,0.67812,1.18061,0.008911,0.008911,0.008911
13,3391.44,1.1273,1.02249,1.35065,0.82324,0.79125,0.83968,0.62273,0.78247,0.66292,1.16651,0.008812,0.008812,0.008812
14,3648.46,1.1151,1.00899,1.34083,0.828,0.81237,0.84492,0.6281,0.77038,0.63807,1.15597,0.008713,0.008713,0.008713
15,3905.77,1.10037,0.98909,1.32798,0.82377,0.80707,0.84565,0.63006,0.76292,0.62817,1.14692,0.008614,0.008614,0.008614
16,4165.2,1.09451,0.98076,1.32022,0.84646,0.80441,0.84942,0.64263,0.75192,0.61304,1.14198,0.008515,0.008515,0.008515
17,4426.53,1.07949,0.95862,1.30695,0.84988,0.80213,0.85271,0.64179,0.74707,0.60733,1.13389,0.008416,0.008416,0.008416
18,4685.65,1.07105,0.95142,1.29786,0.83992,0.82219,0.85515,0.64784,0.7399,0.59778,1.12825,0.008317,0.008317,0.008317
19,4944.88,1.06297,0.94032,1.29069,0.84151,0.82083,0.85488,0.6461,0.73196,0.59153,1.11884,0.008218,0.008218,0.008218
20,5201.05,1.0505,0.93094,1.2821,0.84969,0.81236,0.85764,0.65054,0.72743,0.58232,1.11256,0.008119,0.008119,0.008119
21,5459.67,1.04457,0.92229,1.27624,0.8469,0.82391,0.86583,0.65894,0.72232,0.57458,1.10702,0.00802,0.00802,0.00802
22,5715.07,1.03509,0.91184,1.26767,0.85983,0.82782,0.8674,0.65987,0.7163,0.57436,1.10166,0.007921,0.007921,0.007921
23,5973.69,1.02622,0.90093,1.26161,0.8571,0.83192,0.86727,0.66129,0.7123,0.56853,1.10009,0.007822,0.007822,0.007822
24,6232.07,1.02252,0.89605,1.25682,0.8621,0.8308,0.8665,0.66295,0.7083,0.56294,1.09713,0.007723,0.007723,0.007723
25,6489.81,1.01515,0.88922,1.25025,0.86071,0.82984,0.8657,0.6649,0.70527,0.55868,1.09425,0.007624,0.007624,0.007624
26,6749.42,1.01276,0.88216,1.24817,0.86638,0.83024,0.86893,0.6657,0.7042,0.55621,1.09309,0.007525,0.007525,0.007525
27,7008.61,1.00373,0.87602,1.24224,0.86608,0.83629,0.87051,0.66625,0.70267,0.5518,1.09198,0.007426,0.007426,0.007426
28,7266.61,1.00097,0.87555,1.24071,0.86194,0.8381,0.87271,0.66694,0.69991,0.54826,1.08991,0.007327,0.007327,0.007327
29,7525.34,0.99517,0.86397,1.23334,0.86291,0.83662,0.87328,0.66745,0.69666,0.54565,1.08721,0.007228,0.007228,0.007228
30,7785.29,0.98953,0.85856,1.22952,0.8639,0.83321,0.87195,0.66855,0.69506,0.54403,1.08536,0.007129,0.007129,0.007129
31,8042.91,0.98746,0.85789,1.22874,0.85905,0.83558,0.87108,0.6696,0.69361,0.5421,1.08368,0.00703,0.00703,0.00703
32,8301.29,0.97845,0.84586,1.22304,0.8693,0.83206,0.87233,0.66821,0.69176,0.5406,1.0819,0.006931,0.006931,0.006931
