epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.071,3.08519,3.49779,3.0915,0.65058,0.26287,0.26001,0.12172,2.13414,2.04304,2.55891,0.00333165,0.00333165,0.00333165
2,314.649,2.08118,2.1037,2.02977,0.59726,0.42582,0.45453,0.25495,1.71108,1.55732,2.0092,0.006599,0.006599,0.006599
3,483.431,1.74392,1.63954,1.69614,0.64185,0.51999,0.53528,0.30736,1.47749,1.39799,1.76971,0.00980035,0.00980035,0.00980035
4,657.43,1.55017,1.39226,1.52903,0.6785,0.58667,0.60879,0.39422,1.30646,1.17771,1.63271,0.009703,0.009703,0.009703
5,833.436,1.4037,1.209,1.41586,0.65697,0.62644,0.61484,0.40338,1.26407,1.11195,1.57348,0.009604,0.009604,0.009604
6,1010.64,1.32354,1.12767,1.35448,0.69789,0.65861,0.65172,0.42818,1.16779,1.02887,1.49516,0.009505,0.009505,0.009505
7,1192.82,1.25567,1.06073,1.3101,0.68216,0.68773,0.69694,0.45555,1.15479,0.94384,1.50091,0.009406,0.009406,0.009406
8,1372.18,1.21588,1.01292,1.27993,0.74083,0.68787,0.7185,0.48063,1.14568,0.93539,1.47641,0.009307,0.009307,0.009307
9,1550.56,1.17519,0.98731,1.25971,0.73319,0.68551,0.70294,0.48459,1.05213,0.8916,1.40134,0.009208,0.009208,0.009208
10,1730.18,1.13657,0.94719,1.23101,0.74809,0.67858,0.69814,0.4842,1.06321,0.84883,1.40149,0.009109,0.009109,0.009109
11,1908.71,1.11301,0.92527,1.22143,0.77332,0.70779,0.71425,0.49669,1.03718,0.83676,1.39603,0.00901,0.00901,0.00901
12,2088.42,1.09809,0.9035,1.20617,0.76094,0.71265,0.7219,0.50774,1.00502,0.81215,1.35604,0.008911,0.008911,0.008911
13,2268.51,1.07931,0.88856,1.19249,0.72501,0.74488,0.75848,0.52994,0.96424,0.81969,1.32186,0.008812,0.008812,0.008812
14,2448.12,1.0498,0.86863,1.17562,0.79941,0.73832,0.75948,0.53147,0.96513,0.79098,1.3189,0.008713,0.008713,0.008713
15,2628.2,1.04159,0.85651,1.17161,0.78753,0.73541,0.76581,0.53575,0.93585,0.74711,1.30236,0.008614,0.008614,0.008614
16,2807.1,1.01881,0.83964,1.15845,0.7832,0.7305,0.76195,0.54218,0.92097,0.77109,1.29083,0.008515,0.008515,0.008515
17,2985.77,1.01497,0.83648,1.15103,0.81017,0.74155,0.77151,0.54325,0.93676,0.74717,1.29984,0.008416,0.008416,0.008416
18,3164.85,0.99096,0.81702,1.14305,0.78755,0.7463,0.76635,0.54848,0.93325,0.7333,1.29389,0.008317,0.008317,0.008317
19,3343.71,0.99403,0.81817,1.14181,0.81466,0.75493,0.78786,0.55215,0.90225,0.7128,1.27209,0.008218,0.008218,0.008218
20,3524.76,0.9753,0.80367,1.13292,0.79607,0.75403,0.77446,0.54953,0.89471,0.69861,1.26181,0.008119,0.008119,0.008119
21,3704.4,0.96626,0.79473,1.1257,0.7991,0.76724,0.78997,0.5618,0.90317,0.69967,1.28398,0.00802,0.00802,0.00802
22,3884.69,0.96065,0.79038,1.12461,0.78684,0.76786,0.78399,0.56174,0.88876,0.68965,1.26653,0.007921,0.007921,0.007921
23,4064.69,0.94866,0.78118,1.11708,0.80878,0.74607,0.77858,0.5603,0.88503,0.69279,1.25537,0.007822,0.007822,0.007822
24,4245.5,0.93946,0.77274,1.11626,0.80666,0.76211,0.79091,0.57043,0.87382,0.67508,1.25403,0.007723,0.007723,0.007723
25,4424.97,0.93213,0.76474,1.10668,0.82809,0.7564,0.79467,0.57607,0.85775,0.67072,1.23616,0.007624,0.007624,0.007624
26,4606.01,0.92944,0.76206,1.10422,0.78067,0.78086,0.78849,0.57296,0.85213,0.66442,1.23455,0.007525,0.007525,0.007525
27,4785.34,0.92151,0.7588,1.10237,0.78585,0.77383,0.7924,0.57276,0.85533,0.66833,1.23022,0.007426,0.007426,0.007426
28,4965.32,0.91822,0.75281,1.09582,0.76513,0.78988,0.79323,0.57256,0.84482,0.6648,1.22458,0.007327,0.007327,0.007327
29,5146.12,0.90554,0.74579,1.09513,0.80679,0.77126,0.79118,0.57372,0.84203,0.65073,1.2248,0.007228,0.007228,0.007228
30,5326.28,0.89938,0.73456,1.09146,0.79116,0.7799,0.79709,0.57739,0.84547,0.65417,1.22741,0.007129,0.007129,0.007129
31,5506.87,0.89136,0.73197,1.0832,0.81521,0.77184,0.80137,0.58529,0.8374,0.64775,1.21781,0.00703,0.00703,0.00703
32,5687.35,0.88577,0.73311,1.0814,0.82639,0.76785,0.79817,0.58565,0.83084,0.64838,1.21808,0.006931,0.006931,0.006931
33,5866.72,0.88065,0.73064,1.07931,0.80425,0.76573,0.79329,0.58191,0.83067,0.64569,1.21955,0.006832,0.006832,0.006832
34,6046.01,0.87961,0.72303,1.07886,0.7951,0.76933,0.79372,0.58712,0.82215,0.64111,1.20936,0.006733,0.006733,0.006733
35,6226.73,0.87207,0.72154,1.07336,0.79828,0.78241,0.80667,0.5858,0.82757,0.63636,1.21782,0.006634,0.006634,0.006634
36,6406.9,0.87076,0.71464,1.07153,0.83975,0.76425,0.803,0.58035,0.82474,0.62891,1.21394,0.006535,0.006535,0.006535
37,6587.1,0.86625,0.71563,1.06864,0.82932,0.77177,0.80274,0.58867,0.81544,0.62422,1.20486,0.006436,0.006436,0.006436
38,6767.58,0.85874,0.70455,1.06275,0.8195,0.78019,0.80152,0.5884,0.82105,0.62305,1.21012,0.006337,0.006337,0.006337
39,6948.22,0.85732,0.70841,1.06683,0.8448,0.77137,0.80391,0.59018,0.81485,0.62306,1.20213,0.006238,0.006238,0.006238
40,7127.97,0.84998,0.69838,1.0626,0.84246,0.77706,0.81023,0.58944,0.81012,0.61863,1.20089,0.006139,0.006139,0.006139
41,7307.43,0.84528,0.69194,1.05955,0.8154,0.78763,0.80976,0.59132,0.80445,0.61159,1.19184,0.00604,0.00604,0.00604
42,7487.89,0.84811,0.69659,1.06101,0.82811,0.77534,0.80782,0.59188,0.80162,0.61207,1.19029,0.005941,0.005941,0.005941
43,7667.3,0.83882,0.68927,1.05571,0.84522,0.78225,0.81432,0.59398,0.80201,0.60595,1.19394,0.005842,0.005842,0.005842
44,7847.89,0.83411,0.68695,1.05167,0.85789,0.76566,0.81212,0.5932,0.80337,0.60525,1.19743,0.005743,0.005743,0.005743
45,8028.44,0.82782,0.68149,1.04764,0.8295,0.78451,0.81312,0.59432,0.79834,0.60127,1.18985,0.005644,0.005644,0.005644
46,8209.08,0.8267,0.68178,1.04715,0.82309,0.78589,0.81296,0.59347,0.79789,0.60146,1.18949,0.005545,0.005545,0.005545
47,8389.67,0.82025,0.67328,1.04439,0.83374,0.79085,0.81467,0.59443,0.79593,0.59952,1.18673,0.005446,0.005446,0.005446
48,8569.15,0.81831,0.67443,1.04295,0.82799,0.7926,0.81608,0.59595,0.7959,0.60094,1.18606,0.005347,0.005347,0.005347
49,8748.78,0.81323,0.66618,1.04023,0.81993,0.79058,0.81616,0.5963,0.79304,0.5994,1.18368,0.005248,0.005248,0.005248
50,8928.81,0.80776,0.66805,1.03568,0.82244,0.7782,0.81467,0.59602,0.79294,0.5978,1.18436,0.005149,0.005149,0.005149
51,9107.49,0.7977,0.66585,1.03409,0.84667,0.77131,0.81503,0.59467,0.79467,0.59797,1.18757,0.00505,0.00505,0.00505
52,9287.39,0.79653,0.6633,1.03403,0.83158,0.78736,0.818,0.5958,0.79405,0.59586,1.18775,0.004951,0.004951,0.004951
53,9467.12,0.7953,0.65788,1.03022,0.80969,0.79964,0.81851,0.59758,0.79151,0.59469,1.18619,0.004852,0.004852,0.004852
54,9646.94,0.79593,0.66286,1.03307,0.82507,0.79652,0.81861,0.59856,0.7891,0.5924,1.184,0.004753,0.004753,0.004753
55,9826.04,0.79099,0.65422,1.02949,0.82425,0.79455,0.81839,0.59913,0.78828,0.59152,1.18328,0.004654,0.004654,0.004654
56,10006.6,0.78635,0.65063,1.02652,0.82579,0.7912,0.81886,0.60005,0.78657,0.59012,1.18179,0.004555,0.004555,0.004555
57,10186.7,0.7822,0.64858,1.02604,0.83449,0.79025,0.81922,0.60151,0.78573,0.58865,1.18233,0.004456,0.004456,0.004456
58,10367,0.7829,0.6465,1.02538,0.84975,0.78673,0.81917,0.60291,0.78464,0.58858,1.18128,0.004357,0.004357,0.004357
59,10547.1,0.77727,0.64339,1.02124,0.84651,0.78926,0.81979,0.60573,0.78322,0.58798,1.17976,0.004258,0.004258,0.004258
