epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.816,3.48787,5.05908,3.8241,0.61361,0.09476,0.05135,0.01712,2.76793,3.69576,3.25248,0.00333165,0.00333165,0.00333165
2,431.316,2.42574,3.43919,2.66542,0.67621,0.25614,0.24667,0.12608,1.91321,2.34386,2.32949,0.006599,0.006599,0.006599
3,625.467,1.91886,2.54554,2.13361,0.6884,0.3927,0.42374,0.24021,1.53797,1.66268,1.96871,0.00980035,0.00980035,0.00980035
4,837.457,1.67901,2.02809,1.86457,0.63835,0.5231,0.52567,0.33922,1.28699,1.41002,1.70205,0.009703,0.009703,0.009703
5,1054.73,1.50551,1.68412,1.68136,0.74056,0.52556,0.56271,0.37696,1.18893,1.2252,1.5784,0.009604,0.009604,0.009604
6,1267.87,1.42555,1.53058,1.59143,0.68403,0.61032,0.63666,0.42527,1.12346,1.09359,1.53331,0.009505,0.009505,0.009505
7,1456.73,1.35388,1.41034,1.52503,0.69467,0.66163,0.68912,0.45789,1.07288,1.02936,1.44996,0.009406,0.009406,0.009406
8,1645.59,1.31021,1.32224,1.47772,0.75344,0.64811,0.69245,0.47755,1.00879,0.96565,1.40493,0.009307,0.009307,0.009307
9,1836.77,1.26818,1.27053,1.44373,0.75374,0.67516,0.72948,0.50149,0.98355,0.96128,1.36488,0.009208,0.009208,0.009208
10,2028.69,1.22555,1.20508,1.40643,0.77095,0.6834,0.73773,0.52176,0.94247,0.85603,1.32635,0.009109,0.009109,0.009109
11,2210.86,1.20343,1.17422,1.38757,0.77959,0.69724,0.73999,0.51611,0.94634,0.85495,1.32472,0.00901,0.00901,0.00901
12,2419.29,1.18163,1.13238,1.3631,0.75048,0.73006,0.7643,0.51871,0.92455,0.85358,1.2942,0.008911,0.008911,0.008911
13,2614.2,1.16282,1.10555,1.34795,0.73825,0.76175,0.77406,0.54313,0.90062,0.82209,1.2777,0.008812,0.008812,0.008812
14,2812.91,1.13677,1.07183,1.32271,0.7866,0.74153,0.78115,0.55256,0.87053,0.80276,1.26144,0.008713,0.008713,0.008713
15,3024.77,1.12969,1.06285,1.32001,0.81862,0.75531,0.80716,0.56763,0.85807,0.74388,1.24451,0.008614,0.008614,0.008614
